name,description,duration,recruitment_period,category_tags,group_type_lookup,contact,contact_email,paid_unpaid
3D Printed Prosthetics Club,,,,,Student Organization,,,
Active Minds,"The mission of the Active Minds is to increase Southern Methodist University's studentsâ€™, facultyâ€™s, and staffâ€™s awareness of issues surrounding mental health, symptoms related to mental health disorders, and mental health resources available both on campus and in the surrounding community. ",,,,Student Organization,,,
Adam Smith Society,"The Adam Smith Society SMU Cox Chapter is open to all students enrolled in a graduate program at the Cox School of Business.  This club brings together students and professionals to discuss and debate the contributions of the free market to advancing human flourishing and opportunity for all. As upcoming business leaders, we discuss the need for free enterprise and competition. We are happy to welcome graduate students pursuing business and law to come together for thoughtful discussion on economics, fiscal policy, capitalism, democracy, and so much more.    How to join the Adam Smith Society   1. Request to join here on SMU 360  2. Pay $25 dues using Venmo to @cox-clubs with a note ""Dues for SMU Adam Smith Society""  **Be sure to add the name of the club in your venmo payment  3. Screenshot the payment and note!  4. Email coxadamsmithsociety@list.smu.edu with a screenshot of your payment and let us know you've registered!     ",,,Cox School of Business,Graduate Student Organization,,coxadamsmithsociety@list.smu.edu,
Advertising Club,,,,,Student Organization,,,
African Student Association,,,,,Student Organization,,,
Aggie Mustang Law Society,,,,Dedman School of Law,Graduate Student Organization,,,
Air & Space Law Society,"The DFW metroplex is one of the most air and space-centric areas in the nation. While air and space travel technologies are evolving every day, a cadre of lawyers who are ready to lead the new legal word is necessary. The goal of the Air & Space Law Society is to connect students to related legal communities and to allow students to learn about the many practice areas within air and space law through networking and scholarship opportunities. Highlighted practice areas include air and space corporate counsel, transactional, litigation, Space-Force, Federal agencies, and more.",,,Dedman School of Law,Graduate Student Organization,,,
Alliance of Graduate International Lyle Engineers,,,,,Graduate Student Organization,,,
Alpha Chi Omega,,,,Panhellenic Council,Student Organization,,,
Alpha Delta Pi,,,,"Panhellenic Council,Social",Student Organization,,,
Alpha Epsilon Delta/Pre-Health Professions Society ,"AED stands for Alpha Epsilon Delta and is a Pre Health Honor society focused on preparing students for careers in Medicine, Dentistry, Optometry, Podiatry, Veterinary Medicine and other Allied Health Professions. Our organization, SMU AED, is a chapter of the national organization and is focused on providing the pre-health community here on campus mentorship events, learning and service opportunities, and a community to connect with as they navigate their pre-health journey here at SMU.",,,,Student Organization,,aveeraswamy@mail.smu.edu,
Alpha Epsilon Pi,,,,Interfraternity Council,Student Organization,,,
"Alpha Kappa Alpha Sorority, Inc.",,,,National Pan-Hellenic Council,Student Organization,,,
Alpha Kappa Psi,,,,"Cox School of Business,Professional",Student Organization,,,
"Alpha Phi Alpha Fraternity, Inc.","Alpha Phi Alpha Fraternity Inc. develops leaders, promotes brotherhood and academic excellence, while providing service and advocacy for our communities.",,,National Pan-Hellenic Council,Student Organization,,,
Alpha Phi Omega,,,,Service,Student Organization,,,
Alternative Breaks,,,,,Student Organization,,,
American Cancer Society,,,,,Student Organization,,,
American Constitution Society,"Through a diverse nationwide network of progressive lawyers, law students, judges, scholars, advocates, and many others, our mission is to support and advocate for laws and legal systems that strengthen our democratic legitimacy, uphold the rule of law, and redress the founding failures of our Constitution and enduring inequities in our laws in pursuit of realized equality.",,,Dedman School of Law,Graduate Student Organization,,,
American Society of Civil Engineers ,,,,,Student Organization,,,
Anthropology Club of Southern Methodist University,,,,,Student Organization,,,
Applied Physiology Club,,,,"Dedman College of Humanities and Sciences,Professional",Student Organization,,,
Armstrong Commons,,,,Division of Student Affairs,Residence Life,,,
Artificial Intelligence Club at SMU,,,,,Student Organization,,,
Ascend Pan Asian Leaders (Ascend),,,,,Student Organization,,,
Asian Council,,,,,Student Organization,,ac@smu.edu,
Asian Pacific American Law Student Association,,,,Dedman School of Law,Graduate Student Organization,,,
